新闻频道,#genre#
TVBS新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv072/index.m3u8
台視新聞台,http://bvm.808848.xyz:50007/4gtv-4gtv051/index.m3u8
台視新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv051/index.m3u8
第1商業台,http://bvm.808848.xyz:50007/4gtv-4gtv104/index.m3u8
第1商業台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv104/index.m3u8
倪珍播新聞,http://bvm.808848.xyz:50007/nnews-zh/index.m3u8
倪珍播新聞,http://xn--elt51t.azip.dpdns.org:5008/nnews-zh/index.m3u8
倪珍英語新聞,http://bvm.808848.xyz:50007/nnews-en/index.m3u8
倪珍英語新聞,http://xn--elt51t.azip.dpdns.org:5008/nnews-en/index.m3u8
倪珍越語新聞,http://bvm.808848.xyz:50007/nnews-vn/index.m3u8
倪珍越語新聞,http://xn--elt51t.azip.dpdns.org:5008/nnews-vn/index.m3u8

民視第一台,http://bvm.808848.xyz:50007/4gtv-4gtv003/index.m3u8
民視第一台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv003/index.m3u8
民視台灣台,http://bvm.808848.xyz:50007/4gtv-4gtv001/index.m3u8
民視台灣台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv001/index.m3u8
民視HD,http://bvm.808848.xyz:50007/4gtv-4gtv002/index.m3u8
民視HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv002/index.m3u8
大愛電視,http://bvm.808848.xyz:50007/4gtv-live007/index.m3u8
大愛電視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live007/index.m3u8
中視,http://bvm.808848.xyz:50007/4gtv-4gtv040/index.m3u8
中視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv040/index.m3u8
華視,http://bvm.808848.xyz:50007/4gtv-4gtv041/index.m3u8
華視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv041/index.m3u8
三立綜合合,http://bvm.808848.xyz:50007/4gtv-live207/index.m3u8
三立綜合合,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live207/index.m3u8
客家電視,http://bvm.808848.xyz:50007/4gtv-4gtv043/index.m3u8
客家電視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv043/index.m3u8
中視菁采台,http://bvm.808848.xyz:50007/4gtv-4gtv064/index.m3u8
